1111
213	27	1
94	70	0
94	59	0
94	238	0
94	13	0
94	204	0
159	142	0
159	115	0
159	253	0
159	240	0
159	105	0
159	206	0
159	234	0
209	187	1
230	139	0
230	68	0
230	142	0
77	110	1
91	187	1
2	148	1
19	148	1
269	148	1
270	81	0
270	171	0
270	105	0
270	120	0
270	138	0
90	187	1
215	121	0
215	17	0
194	68	0
59	106	1
204	106	1
176	0	1
83	79	1
257	95	1
260	0	1
14	255	1
1	0	1
202	227	0
202	238	0
38	176	1
8	125	0
8	25	0
8	97	0
67	23	0
67	19	0
67	7	0
67	228	0
67	219	0
67	150	0
76	122	0
76	55	0
76	264	0
76	263	0
5	148	1
246	84	1
77	187	1
185	79	1
170	236	0
21	95	1
113	187	1
269	46	1
238	255	1
153	179	1
239	95	1
188	79	1
157	113	0
157	25	0
104	187	1
163	148	1
270	213	1
133	148	1
56	90	1
181	110	1
130	92	0
130	236	0
197	126	0
197	188	0
197	201	0
197	75	0
29	219	0
233	187	1
7	146	1
205	125	0
205	48	0
205	254	0
189	179	1
161	148	1
162	67	0
162	65	0
162	152	0
162	23	0
162	86	0
162	73	0
162	219	0
162	36	0
17	84	1
39	255	1
57	27	1
40	59	0
40	51	0
40	72	0
40	174	0
40	4	0
17	27	1
70	106	1
33	83	0
33	224	0
33	214	0
33	190	0
33	63	0
33	101	0
203	95	1
45	255	1
6	187	1
268	90	1
246	17	0
246	80	0
246	201	0
246	121	0
246	168	0
107	148	1
199	187	1
4	255	1
62	176	1
20	2	0
20	269	0
20	186	0
270	27	1
22	255	1
178	41	1
216	146	1
156	0	1
237	255	1
36	96	1
81	270	0
11	27	1
216	148	1
111	237	0
111	169	0
111	151	0
111	180	0
142	171	0
142	253	0
142	230	0
142	11	0
142	139	0
142	105	0
142	159	0
136	148	1
267	222	1
83	224	0
83	33	0
83	214	0
264	41	1
13	106	1
65	96	1
229	88	1
243	95	1
40	41	1
73	162	0
73	219	0
121	84	1
28	176	1
153	255	1
92	148	1
121	27	1
127	187	1
196	255	1
152	46	1
7	148	1
19	96	1
58	179	1
140	0	1
189	255	1
15	14	0
34	27	1
239	199	0
36	162	0
183	179	1
210	213	1
105	171	0
105	142	0
105	117	0
105	138	0
105	240	0
105	270	0
105	159	0
142	27	1
179	255	1
138	27	1
164	136	1
44	90	1
202	255	1
171	139	0
171	270	0
171	142	0
171	105	0
112	135	0
112	200	0
50	126	0
50	252	0
108	0	1
73	148	1
158	179	1
149	102	1
256	27	1
79	27	1
218	102	1
95	187	1
8	187	1
207	148	1
43	95	1
207	136	1
215	84	1
166	219	0
225	136	1
193	136	1
212	187	1
186	46	1
106	255	1
71	0	1
223	126	0
83	27	1
13	94	0
13	238	0
13	200	0
13	204	0
256	79	1
4	41	1
75	198	1
218	149	0
121	215	0
121	17	0
121	246	0
99	187	1
198	27	1
144	255	1
113	110	1
82	222	1
34	213	1
26	187	1
125	241	0
125	113	0
125	249	0
125	181	0
125	25	0
125	97	0
125	205	0
125	48	0
125	254	0
125	8	0
30	148	1
201	27	1
71	156	1
75	126	0
75	188	0
75	69	0
75	197	0
228	67	0
228	216	0
228	131	0
228	7	0
228	150	0
252	79	1
85	187	1
22	158	0
60	0	1
82	0	1
221	84	1
182	187	1
250	269	0
176	176	1
162	96	1
196	70	0
196	114	0
56	187	1
50	27	1
159	213	1
177	27	1
103	222	1
18	48	0
18	254	0
18	113	0
137	88	1
154	95	1
131	228	0
131	216	0
131	219	0
131	151	0
131	7	0
214	79	1
53	88	1
220	95	1
89	255	1
252	126	0
252	172	0
252	247	0
252	69	0
252	50	0
252	188	0
120	138	0
120	270	0
126	198	1
171	213	1
10	106	1
65	162	0
65	152	0
235	222	1
6	88	1
176	0	1
228	148	1
182	95	1
11	253	0
11	142	0
85	143	0
157	187	1
70	255	1
69	27	1
254	125	0
254	205	0
254	48	0
254	113	0
254	18	0
151	106	1
244	102	1
44	187	1
206	159	0
206	17	0
206	115	0
206	234	0
86	162	0
86	219	0
234	213	1
135	102	1
72	41	1
177	213	1
180	111	0
180	151	0
17	168	0
17	115	0
17	121	0
17	246	0
17	215	0
